Code,Description,Relative Value,FUD,PC/TC Split
28062,"Fasciectomy, plantar fascia; radical (separate procedure)",6.04,090,
28070,"Synovectomy; intertarsal or tarsometatarsal joint, each",3.95,090,
28072,"Synovectomy; metatarsophalangeal joint, each",3.23,090,
28080,"Excision, interdigital (Morton) neuroma, single, each",3.88,090,
28086,"Synovectomy, tendon sheath, foot; flexor",4.15,090,
28088,"Synovectomy, tendon sheath, foot; extensor",3.26,090,
28090,"Excision of lesion, tendon, tendon sheath, or capsule (including synovectomy) (eg, cyst or ganglion); foot",3.23,090,
28092,"Excision of lesion, tendon, tendon sheath, or capsule (including synovectomy) (eg, cyst or ganglion); toe(s), each",3.23,090,
28100,"Excision or curettage of bone cyst or benign tumor, talus or calcaneus;",4.74,090,
28102,"Excision or curettage of bone cyst or benign tumor, talus or calcaneus; with iliac or other autograft (includes obtaining graft)",5.18,090,
28103,"Excision or curettage of bone cyst or benign tumor, talus or calcaneus; with allograft",4.74,090,
28104,"Excision or curettage of bone cyst or benign tumor, tarsal or metatarsal, except talus or calcaneus;",3.62,090,
28106,"Excision or curettage of bone cyst or benign tumor, tarsal or metatarsal, except talus or calcaneus; with iliac or other autograft (includes obtaining graft)",5.18,090,
28107,"Excision or curettage of bone cyst or benign tumor, tarsal or metatarsal, except talus or calcaneus; with allograft",5.18,090,
28108,"Excision or curettage of bone cyst or benign tumor, phalanges of foot",4.1,090,
28110,"Ostectomy, partial excision, fifth metatarsal head (bunionette) (separate proce- dure)",3.23,090,
28111,"Ostectomy, complete excision; first metatarsal head",4.64,090,
28112,"Ostectomy, complete excision; other metatarsal head (second, third or fourth)",3.23,090,
28113,"Ostectomy, complete excision; fifth metatarsal head",3.23,090,
28114,"Ostectomy, complete excision; all metatarsal heads, with partial proximal pha- langectomy, excluding first metatarsal (eg, Clayton type procedure)",7.9,090,
28116,"Ostectomy, excision of tarsal coalition",6.04,090,
28118,"Ostectomy, calcaneus;",6.47,090,
28119,"Ostectomy, calcaneus; for spur, with or without plantar fascial release",6.91,090,
28120,"Partial excision (craterization, saucerization, sequestrectomy, or diaphysectomy) bone (eg, osteomyelitis or bossing); talus or calcaneus",4.32,090,
28122,"Partial excision (craterization, saucerization, sequestrectomy, or diaphysectomy) bone (eg, osteomyelitis or bossing); tarsal or metatarsal bone, except talus or cal- caneus",4.32,090,
28124,"Partial excision (craterization, saucerization, sequestrectomy, or diaphysectomy) bone (eg, osteomyelitis or bossing); phalanx of toe",3.23,090,
28126,"Resection, partial or complete, phalangeal base, each toe",3.67,090,
28130,Talectomy (astragalectomy),12.07,090,
28140,Metatarsectomy,4.74,090,
28150,"Phalangectomy, toe, each toe",3.23,090,
28153,"Resection, condyle(s), distal end of phalanx, each toe",3.23,090,
28160,"Hemiphalangectomy or interphalangeal joint excision, toe, proximal end of pha- lanx, each",3.23,090,
28171,Radical resection of tumor; tarsal (except talus or calcaneus),10.77,090,
28173,Radical resection of tumor; metatarsal,6.91,090,
28175,Radical resection of tumor; phalanx of toe,5.18,090,
28190,"Removal of foreign body, foot; subcutaneous",3.23,010,
28192,"Removal of foreign body, foot; deep",3.67,090,
